frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16, 0, 0.000, 0.98, 1, -0.59, -1.32, -0.78, -0.89, 2.05, 1.83, 0.61, 2.14, 2.66, 2.68, 0.38, 1.70, 1.78, 0.92, 0.28, 2.81, -0.14, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
17, 0, 0.000, 0.02, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
18, 0, 0.000, 0.58, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
19, 0, 0.000, 0.98, 1, -0.44, -0.79, 0.00, -0.76, 2.61, 1.27, 1.22, 2.21, 2.12, 1.61, 1.26, 0.91, 0.81, -1.38, 0.15, -0.04, 1.99, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
20, 0, 0.000, 0.98, 1, 0.89, 1.81, 0.20, -0.75, 3.51, 3.44, -0.14, 1.58, 2.73, 1.26, -0.12, 0.32, 0.03, 1.51, 2.32, 2.20, 0.37, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
21, 0, 0.000, 0.98, 1, 0.65, 1.35, -0.05, 2.11, 3.08, 1.23, -1.90, 1.50, 1.08, 2.19, 4.07, 4.37, 4.76, 4.47, 1.51, 1.61, -1.80, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0
22, 0, 0.000, 0.88, 1, 0.02, 0.66, 1.58, 0.10, 1.75, 2.59, 0.16, 2.36, -0.11, 3.66, 3.69, 1.39, -1.41, 4.31, -0.80, -2.25, 5.01, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0
23, 0, 0.000, 0.92, 1, -0.35, 1.79, -0.26, 0.52, -0.28, -0.18, -0.71, -0.03, 1.07, 1.02, -1.39, 0.09, 0.37, 0.59, 0.87, 2.88, 1.27, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
24, 0, 0.000, 0.98, 1, 0.41, 0.99, -0.03, -0.63, 1.17, 0.46, 0.58, 1.61, 2.15, 1.28, -0.21, 0.88, 0.75, 2.20, -1.75, 1.09, 0.90, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
25, 0, 0.000, 0.98, 1, -1.75, -1.28, 1.10, 0.11, 3.21, 1.73, 0.46, 2.39, 3.34, 0.86, -1.00, 0.51, -0.42, 1.23, 1.04, 0.70, -0.48, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
26, 0, 0.000, 0.98, 1, 3.05, 1.80, 0.06, 0.07, 2.40, 3.74, 1.71, 3.22, 1.46, 0.18, 1.14, 2.76, 1.24, -0.23, 1.15, 0.91, 1.76, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0
27, 0, 0.000, 0.98, 1, -0.89, 1.86, -1.54, 1.87, 0.51, -0.33, 0.53, 0.07, 0.93, -0.15, -0.07, 0.34, -0.67, 0.55, -1.07, 2.28, 1.25, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
28, 0, 0.000, 0.98, 1, 1.19, 1.38, -0.34, -1.12, 1.74, 3.19, 0.55, 0.60, 2.08, 1.83, -0.11, 0.78, 2.80, 0.15, -2.55, 0.55, 1.18, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
29, 0, 0.000, 0.98, 1, 2.16, 1.23, -1.78, 0.57, 0.26, -0.46, -0.61, 1.40, 1.93, 1.33, -1.11, 0.57, 0.37, -0.13, 0.80, 1.26, 0.73, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
30, 0, 0.000, 0.98, 1, -0.99, 1.21, -0.78, -0.71, 0.53, 0.50, 0.62, 0.58, 1.11, 1.06, 0.10, 0.77, 0.55, 0.02, -0.44, 2.13, 2.03, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0
31, 0, 0.000, 0.98, 1, -0.89, 1.33, -2.21, -0.57, 0.77, -0.11, -0.31, 0.83, 2.11, 1.01, -0.51, 0.56, -0.57, 1.73, 0.26, 2.00, 0.33, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0
32, 0, 0.000, 0.88, 1, -0.21, 1.20, 1.00, -0.04, 3.32, 1.82, 0.87, 1.50, 2.90, 1.20, -0.80, -0.61, 2.27, 2.01, 0.08, 1.29, 0.27, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
