frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16, 0, 0.000, 0.98, 1, -0.56, -1.80, 0.07, 1.45, 4.04, 2.01, 0.05, 2.93, 3.75, 2.53, 1.82, 0.43, 0.62, 1.45, 3.05, 1.74, -2.30, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
17, 0, 0.000, 0.92, 1, 0.04, 0.54, -0.30, 2.80, -0.32, 1.12, -1.13, -0.21, 0.24, -0.16, -0.38, 1.16, 1.44, 0.90, -0.92, 2.71, -1.06, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0
18, 0, 0.000, 0.88, 1, 4.03, 3.81, 0.57, 0.71, 0.28, 0.99, -0.09, -0.52, 0.23, -0.26, 1.82, 4.36, -0.38, 2.20, -2.58, -1.27, -2.83, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0
19, 0, 0.000, 0.98, 1, 1.54, 0.42, 0.89, -0.13, 2.54, 2.22, 1.11, 2.54, 2.91, 1.12, 2.41, 3.35, -0.01, 1.08, 0.36, 0.01, -1.29, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0
20, 0, 0.000, 0.88, 1, 2.20, 0.44, -1.13, -0.24, 2.19, 2.10, 0.50, 3.10, 2.59, 2.80, 0.31, 0.13, 0.13, 0.59, 0.06, 0.45, -0.98, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
21, 0, 0.000, 0.98, 1, 0.23, -1.52, -0.17, -0.22, 2.39, 3.05, 0.77, 1.62, 1.49, 1.64, 0.67, 1.81, 2.09, 1.34, -0.17, 1.35, 0.27, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0
22, 0, 0.000, 0.98, 1, 1.01, -1.27, 0.76, -1.35, 3.22, 3.20, 0.14, 3.83, 1.24, 1.29, 0.74, 2.32, 3.00, 0.98, 0.06, -0.19, -1.20, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0
23, 0, 0.000, 0.98, 1, 3.01, 2.43, 0.53, -0.07, 1.10, 1.59, 0.70, 3.53, 2.48, 1.52, 2.45, 3.71, -1.87, 2.45, -1.80, -0.56, 0.99, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
24, 0, 0.000, 0.98, 1, -0.06, -0.53, -1.92, -1.27, 1.96, 3.35, 1.85, 2.65, 2.42, 0.96, -0.15, -0.20, -0.34, -0.35, -0.08, -1.34, -0.53, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25, 0, 0.000, 0.98, 1, 0.56, 0.57, 2.10, 0.65, 2.68, 1.58, 0.46, 1.77, 1.68, 1.56, 2.56, 2.84, 0.35, 2.60, 0.09, -0.00, -1.19, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
